Date,Type,Reg.,Route,"Flight
Time","Day
Landings","Night
Landings","Actual
Instrument","Simulated
Instrument",Night,ME,VP,RU,"Cross
Country",Solo,PIC,Dual,Notes
2007-06-23,DR221 ,FBPKH ,Tours de piste LFPZ ,0.7,4,  ,  ,  ,  ,,,,  ,0.7,0.7,  ,PDV
2007-06-26,DR221 ,FBOZU ,Local LFPZ ,1.1,1,  ,  ,  ,  ,,,,  ,  ,  ,1.1,SRE
2007-07-07,DR221 ,FBPRT ,Local LFPZ ,1.5,1,  ,  ,  ,  ,,,,  ,1.5,1.5,  ,BLI
2007-07-15,DR221 ,FBPKH ,Local LFPZ ,1.0,1,  ,  ,  ,  ,,,,  ,1.0,1.0,  ,ALX
2007-07-21,DR221 ,FBPRT ,Local LFPZ ,1.3,1,  ,  ,  ,  ,,,,  ,  ,  ,1.3,SRE
2007-08-04,DR42 ,FBTKU ,Nav ? ,2.5,2,  ,  ,  ,  ,,,,2.5,  ,  ,2.5,SRE
2007-08-06,DR221 ,FBPKH ,Local LFPZ ,1.2,1,  ,  ,  ,  ,,,,  ,  ,  ,1.2,TML
2007-08-26,DR221 ,FBPKH ,Nav LFPZ-LFPT-LFPZ ,0.9,2,  ,  ,  ,  ,,,,0.9,  ,  ,0.9,SRE
Page 12 =>,,,,51.1,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,5.2,5.2,45.9,
2007-09-05,DR46 ,FGUXH ,Nav LFLH-LFLE ,1.1,1,  ,  ,  ,  ,,,,1.1,  ,  ,1.1,SRE
2007-09-05,DR46 ,FGUXH ,Nav LFGJ-LFPZ ,2.0,1,  ,  ,  ,  ,,,,2.0,  ,  ,2.0,SRE
2007-09-08,DR42 ,FBTKU ,Nav LFPZ-LFON-LFPZ ,1.2,2,  ,  ,  ,  ,,,,1.2,1.2,1.2,  ,ALX
2007-09-10,DR221 ,FBOZU ,Tours de piste LFPZ ,0.9,6,  ,  ,  ,  ,,,,  ,0.9,0.9,  ,JCP
2007-09-15,DR221 ,FBPRT ,Nav LFPZ-LFPT-LFPZ ,0.9,4,  ,  ,  ,  ,,,,0.9,0.9,0.9,  ,DRY
2007-09-16,DR221 ,FBPRT ,Nav LFPZ-LFPT-LFPZ ,0.7,2,  ,  ,  ,  ,,,,0.7,0.7,0.7,  ,SRE
2007-09-19,DR48 ,FBVMC ,Nav LFDS- ,1.4,  ,  ,  ,  ,  ,,,,1.4,  ,  ,1.4,JCP. Changement de pilote en vol.
2007-09-22,DR221 ,FBPRT ,Local LFPZ ,1.2,1,  ,  ,  ,  ,,,,  ,1.2,1.2,  ,ALX
2007-09-29,DR42 ,FBTKU ,Tours de piste LFPZ ,1.0,5,  ,  ,  ,  ,,,,  ,0.2,0.2,0.8,CTM
2007-09-30,DR221 ,FBPRT ,Nav LFPZ-LFOR-LFPZ ,1.3,2,  ,  ,  ,  ,,,,1.3,1.3,1.3,  ,SRE
2007-10-01,P2002 ,FGXBD ,Tours de piste LFPZ ,0.7,7,  ,  ,  ,  ,,,,  ,  ,  ,0.7,JCP
2007-10-05,P2002 ,FGXBD ,Tours de piste LFPZ ,1.0,4,  ,  ,  ,  ,,,,  ,1.0,1.0,  ,BLI
2007-10-14,DR221 ,FBPRT ,Nav LFPZ-LFOL-LFAX-LFPZ ,1.1,1,  ,  ,  ,  ,,,,1.1,1.1,1.1,  ,ALX
Page 14 =>,,,,65.6,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,13.7,13.7,51.9,
2007-10-14,DR221 ,FBPRT ,Nav LFPZ-LFOL-LFAX-LFPZ (suite),1.6,2,  ,  ,  ,  ,,,,1.6,1.6,1.6,  ,ALX
2007-10-20,P2002 ,FGXBD ,Local LFPZ ,0.7,1,  ,  ,0.5,  ,,,,  ,  ,  ,0.7,JCP. VSV simulé.
2007-10-27,DR221 ,FBOZU ,Local LFPZ ,0.7,1,  ,  ,  ,  ,,,,  ,  ,  ,0.7,BLI
2007-10-28,DR42 ,FBTKU ,Nav LFPZ-LFOX-LFOR-LFON-LFPZ ,1.6,1,  ,  ,  ,  ,,,,1.6,  ,  ,1.6,SRE. Déroutements.
2007-11-11,DR221 ,FBPRT ,Tours de piste LFPZ ,0.5,3,  ,  ,  ,  ,,,,  ,0.5,0.5,  ,ALX
2007-11-12,DR221 ,FBOZU ,Nav LFPZ-LFRG-LFPD-LFPZ ,2.7,3,  ,  ,  ,  ,,,,2.7,2.7,2.7,  ,MLT. Triangulaire.
2007-11-17,DR221 ,FBOZU ,Local LFPZ ,1.1,1,  ,  ,  ,  ,,,,  ,  ,  ,1.1,MTY
2007-11-17,DR221 ,FBOZU ,Local LFPZ ,1.2,1,  ,  ,  ,  ,,,,  ,  ,  ,1.2,SRE
2007-11-30,DR42 ,FBTKU ,Local LFPZ ,2.1,1,  ,  ,  ,  ,,,,  ,  ,  ,2.1,SRE
2007-12-04,DR46 ,FGUXH ,Local LFPN ,0.9,1,  ,  ,  ,  ,,,,  ,  ,  ,0.9,JCP
2007-12-08,DR221 ,FBPRT ,Local LFPN ,1.3,1,  ,  ,  ,  ,,,,  ,  ,  ,1.3,MTY
2007-12-15,DR42 ,FBTKU ,Local LFPZ ,1.1,1,  ,  ,  ,  ,,,,  ,1.1,1.1,  ,JCP
2007-12-20,DR221 ,FBPRT ,Nav LFPZ-LFOB-LFPZ ,1.3,2,  ,  ,  ,  ,,,,1.3,1.3,1.3,  ,ALX
Page 16 =>,,,,82.4,228.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,30.1,20.9,20.9,61.5,
2007-12-23,DR221 ,FBOZU ,Tours de piste LFPZ ,0.6,3,  ,  ,  ,  ,,,,  ,0.6,0.6,  ,JCP
2008-01-04,DR221 ,FBOZU ,Nav LFPZ-LFOR-LFPZ ,1.4,3,  ,  ,  ,  ,,,,1.4,  ,  ,1.4,SRE
2008-01-21,DR221 ,FBOZU ,LFPN-LFOP-LFPN ,2.7,3,  ,  ,  ,  ,,,,2.7,  ,  ,2.7,DRY. Pré-test.
2008-02-03,DR221 ,FBOZU ,Tours de piste LFPZ ,0.7,3,  ,  ,  ,  ,,,,  ,0.7,0.7,  ,JCP
2008-02-08,DR221 ,FBPRT ,Local LFPZ ,1.5,1,  ,  ,  ,  ,,,,  ,  ,  ,1.5,LHV
2008-02-09,P2002 ,FGXBD ,Local LFPZ ,1.0,1,  ,  ,  ,  ,,,,  ,1.0,1.0,  ,BLI
2008-03-07,DR221 ,FBPKH ,Tours de piste LFPZ ,0.7,5,  ,  ,  ,  ,,,,  ,  ,  ,0.7,DRY
2008-03-08,DR221 ,FBPKH ,Local LFPZ ,0.8,1,  ,  ,  ,  ,,,,  ,0.8,0.8,  ,DRY
2008-03-13,DR221 ,FBPRT ,Nav LFPZ-LFPN ,0.6,1,  ,  ,  ,  ,,,,0.6,0.6,0.6,  ,ALX. Convoyage pour le test.
2008-03-13,DR221 ,FBPRT ,Nav LFPN-LFPX-LFOR-LFPN ,2.6,5,  ,  ,  ,  ,,,,2.6,  ,  ,2.6,Terrasson. Test PPL.
2008-03-15,DR221 ,FBOZU ,Local LFPZ ,0.8,1,  ,  ,  ,  ,,,,  ,  ,0.8,  , 
2008-03-23,DR48 ,FGGXG ,Local LFPN ,1.9,3,  ,  ,  ,  ,,,,  ,  ,  ,1.9,LHV
2008-04-12,DR221 ,FBPRT ,Local LFPZ ,1.0,1,  ,  ,  ,  ,,,,  ,  ,1.0,  , 
2008-04-26,DR221 ,FBOZU ,Local LFPZ ,1.3,1,  ,  ,  ,  ,,,,  ,  ,1.3,  ,Premier passager (Steupa)
Page 18 =>,,,,100.0,260.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,37.4,24.6,27.7,72.3,
2008-05-03,DR46 ,FGUXH ,Local LFPZ ,0.7,3,  ,  ,  ,  ,,,,  ,  ,  ,0.7,JCP
2008-05-03,DR221 ,FBOZU ,Local LFPZ ,1.3,1,  ,  ,  ,  ,,,,  ,  ,1.3,  , 
2008-05-08,DR221 ,FBOZU ,Nav LFPZ-LFOS-LFPZ ,3.0,2,  ,  ,  ,  ,,,,3.0,  ,3.0,  ,Avec Stéphanie Pourtau
2008-05-10,DR48 ,FGLKG ,Local LFPZ ,0.8,1,  ,  ,  ,  ,,,,  ,  ,0.8,  , 
2008-06-07,DR46 ,FGXGM ,Local LFPZ ,1.3,1,  ,  ,  ,  ,,,,  ,  ,1.3,  , 
2008-06-14,DR221 ,FBPKH ,Local LFPZ ,0.9,2,  ,  ,  ,  ,,,,  ,  ,  ,0.9,ALX
2008-06-18,DR46 ,FGUXH ,Nav LFPZ-LFRT ,2.2,1,  ,  ,  ,  ,,,,2.2,  ,  ,2.2,DLH
2008-06-18,DR46 ,FGUXH ,Nav LFRT-LFEQ ,1.0,1,  ,  ,  ,  ,,,,1.0,  ,  ,1.0,DLH
2008-06-21,DR42 ,FBTKU ,Nav LFPZ-LFOR-LFPZ ,1.4,2,  ,  ,  ,  ,,,,1.4,  ,1.4,  ,Avec Nico
